m,A,split1,still1,split2,still2,split3,still3
1,1,12.036012331669948,nan,9.1921320136863,nan,5.432069282653859,nan
1,11,11.219407594972711,nan,4.290931241332672,nan,1.806483677773833,nan
1,21,11.217388253330544,nan,4.283829233010001,nan,1.8011611579476179,nan
1,31,11.226238895619463,nan,4.300513485724056,nan,1.808352045711119,nan
1,41,11.231056944400605,nan,4.2933689691113655,nan,1.8048247200853635,nan
1,51,11.223423018061993,nan,4.305296737449117,nan,1.8177398737987893,nan
1,61,11.2198007314192,nan,4.29242758545674,nan,1.8078539103131765,nan
1,71,11.242273625679966,nan,4.30481696892222,nan,1.81091348650201,nan
1,81,11.197989623152713,nan,4.292439565376392,nan,1.8152541109066007,nan
1,91,11.234264084591832,nan,4.344037971626904,nan,1.8477024273726237,nan
1,101,11.188251838570547,nan,4.27721359071384,nan,1.8053653145029518,nan
1,111,11.190688594280855,nan,4.295304239570181,nan,1.8202126139431105,nan
1,121,11.241472776885795,nan,4.311981369746121,nan,1.8007899858343608,nan
1,131,11.2350653897437,nan,4.346916823212718,nan,1.849945657691976,nan
1,141,11.260621563305987,nan,4.303862050568317,nan,1.803837703616304,nan
1,151,11.197178388577282,nan,4.212791709439777,nan,1.7471707989743623,nan
1,161,11.21456124746214,nan,4.273878806339448,nan,1.7936614702215774,nan
1,171,11.2558444398854,nan,4.339719565237318,nan,1.8128805245423814,nan
1,181,11.248666100635548,nan,4.3959611393506535,nan,1.8881762160075544,nan
1,191,11.25743743844547,nan,4.335887613806132,nan,1.806297863684144,nan
1,201,11.282032403904493,nan,4.32391598933235,nan,1.813754709782993,nan
1,211,11.15313848463804,nan,4.259179460586135,nan,1.8015016052288981,nan
1,221,11.202847134535201,nan,4.232632346191012,nan,1.7622181658455804,nan
1,231,11.26777373875746,nan,4.354100702183074,nan,1.8129015925929595,nan
1,241,11.154779138794988,nan,4.293415934048224,nan,1.8306766891046675,nan
1,251,11.244671289376827,nan,4.381509099563222,nan,1.8768816262399024,nan
1,261,11.13916227493102,nan,4.258236357914187,nan,1.8053189921452015,nan
1,271,11.253453094752135,nan,4.413337817740906,nan,1.9018069966490456,nan
1,281,11.156419054279407,nan,4.203847507630738,nan,1.790876378319645,nan
1,291,11.293866810536509,nan,4.280986756256394,nan,1.772884566951828,nan
1,301,11.20608229451506,nan,4.243991552394156,nan,1.7708585893851694,nan
1,311,11.242672195396741,nan,4.3742920623297366,nan,1.871251596895999,nan
1,321,11.286771197670841,nan,4.380046950101565,nan,1.8162309583798757,nan
1,331,11.206890615448735,nan,4.246833814753299,nan,1.7730234662399067,nan
1,341,11.12513295834573,nan,4.28580800565118,nan,1.8339649213529974,nan
1,351,11.326772337204181,nan,4.344008299046255,nan,1.8154822475983576,nan
1,361,11.255844021408226,nan,4.422039018626193,nan,1.9086486138572913,nan
1,371,11.183371996759856,nan,4.164819021617019,nan,1.7110496402370705,nan
1,381,11.109390684907789,nan,4.269643872453453,nan,1.825091372394674,nan
1,391,11.195961914428198,nan,4.208550854375892,nan,1.7439748346111696,nan
1,401,11.288349256807209,nan,4.347378310898022,nan,1.776923450186226,nan
1,411,11.22462696194945,nan,4.309606354168446,nan,1.8211123975747086,nan
1,421,11.159696667604868,nan,4.083645453743905,nan,1.6506671831153383,nan
1,431,11.093582702482674,nan,4.263000846316704,nan,1.8245193527119836,nan
1,441,11.208910692269287,nan,4.2539437054550735,nan,1.7784430722101559,nan
1,451,11.328330647476562,nan,4.254379166553099,nan,1.73858232763287,nan
1,461,11.27332583158534,nan,4.486104595148827,nan,1.9593346763072457,nan
1,471,11.217382119193456,nan,4.283869860244584,nan,1.8013295146354031,nan
1,481,11.160515608606204,nan,4.086430775697364,nan,1.6527242517765166,nan
1,491,11.102742610375643,nan,4.119480424250706,nan,1.7637228339262991,nan
11,1,54.10459178774183,58.915000558805794,40.51185609602155,4.414193028013472,41.90507204896192,22.26387771440697
11,11,39.72034157636997,29.118050252965656,19.76441889765357,15.555551636416862,33.11000658417143,25.211767730557398
11,21,39.67770623590353,28.977485500459704,16.649570111957264,14.63947452550719,29.733187383838004,22.827491797509648
11,31,39.62568697527026,29.22387428387731,15.524196269224063,14.399535742445293,28.671818342536028,22.528843020493994
11,41,39.59869219077009,29.3620772078837,14.96881273242519,14.214710892866588,28.064474502995118,22.35171011347449
11,51,39.632482528376634,29.134646444648922,14.775168890988263,14.257952482062686,27.842495622017076,22.285090404451676
11,61,39.64776307886394,29.02695837579603,14.621247501151958,14.180772698018549,27.528213407167378,22.272708405121328
11,71,39.540140246657934,29.693141908273823,14.206072427163843,14.048071182697802,27.399974052981324,22.13153568045903
11,81,39.7414924039525,28.38914103981145,14.655530089913249,14.289402630948414,27.308974690858808,22.29828194636865
11,91,39.578354928075605,29.454215988745258,14.155620923797816,14.253780672064456,27.54005365828097,22.04561515410066
11,101,39.78051670170379,28.107603270383024,14.621994163142224,14.256949901213462,27.043366603515235,22.33140298345391
11,111,39.77050109659454,28.17789581328696,14.553757716258067,14.31781899989545,27.12949387716125,22.274698881268904
11,121,39.54254240434102,29.669064589185094,13.8773331518556,14.014285617435721,26.940893427595526,22.220219411953053
11,131,39.573681896025974,29.478150552800535,13.955580011711882,14.221312256970059,27.333685317301796,21.99343802791691
11,141,39.44437579861723,30.244744836987948,13.563102870886908,13.823786991330822,26.852469389432045,21.963650668379845
11,151,39.74338861465589,28.36580299615142,14.263704983081086,13.822943856542377,26.240179386886297,20.586548268645462
11,161,39.66861925659552,28.872867248836183,14.066872488392773,13.999626479934058,26.682707718839442,22.192795919025627
11,171,39.46918848739151,30.10061192805253,13.580359703972178,14.013628347999427,26.91744989651851,22.15373236989157
11,181,39.50598917674461,29.88471725665251,13.712708609721028,14.323797435640609,27.545744421325264,21.837159678472975
11,191,39.4607713760271,30.14876227470372,13.521874267566528,13.976802138436542,26.819016029798643,22.175578191328224
11,201,39.32654749667515,30.89728600949347,13.18746741925041,13.74163207462572,26.80549781292904,21.811839702566612
11,211,39.908854868035384,27.10870575480501,14.746560605496922,14.373020546925602,26.65185011015103,20.719073642923117
11,221,39.719182191385734,28.53076840304716,14.082838582792867,13.859229648389393,26.256257095657215,20.459215343902088
11,231,39.4055890534845,30.46199388138274,13.356490314217057,13.977225324752624,26.840057525059898,22.14840193437886
11,241,39.903168140958684,27.15498598327629,14.726685550166202,14.526927090353906,26.902208854772404,20.585554130002745
11,251,39.525833214591025,29.765258045783522,13.663096477620751,14.269959591664344,27.340194388555776,21.855132829573577
11,261,39.954353000159024,26.717839205527085,14.869686208575972,14.466168018760566,26.627161677272078,20.81429109501077
11,271,39.481208187006786,30.02892916932544,13.570181653045124,14.34637508009586,27.546301690327308,21.771806799847855
11,281,39.89744442489089,27.20130963808773,14.58046624703701,14.045786196162055,26.390416315502975,22.088655332439277
11,291,39.257751530991065,28.201032106174956,12.917813358815378,13.432392503089385,26.297510420251086,21.81989685642258
11,301,39.70514720052033,28.625262324655722,13.98089908501625,13.879827246501513,26.265094568114545,20.387691858307257
11,311,39.535770270136354,29.70577901994239,13.636545039957026,14.241104316769688,27.229986811731145,21.869062936087342
11,321,39.29912542866821,27.97900386685464,13.072673392430994,13.946551383740136,26.829653020938455,22.141542435806226
11,331,39.70161538026113,28.64891166016988,13.955573436395918,13.88495999426103,26.267261534388215,20.369952178573122
11,341,39.99671691888855,26.329364448345956,15.026104509676614,14.706373950811082,26.84960857721454,20.80964318747861
11,351,39.05318492275004,29.246507671993193,12.520759240837911,13.497357968115173,26.673460317872,21.560154676727038
11,361,39.46869384339961,30.101167597220563,13.499873570501164,14.357509315005615,27.546316194205616,21.739899326450494
11,371,39.798291287819445,27.968248056172108,14.16222442101787,13.625020489353485,25.589968282685,20.839523987461614
