g,still,split
0.0,96.47461975649146,1.8864329879953852
0.01,96.22233346784742,2.220932855025124
0.02,95.44095559007427,3.0699323958291025
0.03,94.13918926577647,4.391707413874712
0.04,92.34665192513029,6.2106638158669485
0.05,90.06855785930323,8.540565106406314
0.06,87.33060001094316,11.283694919913287
0.07,84.09561115085071,14.469980804195895
0.08,80.5434056072521,18.044641020998615
0.09,76.66436854337977,21.943604806936325
0.1,72.44984288509212,26.163765353548495
0.11,67.97428679334836,30.624248200820837
0.12,63.28886785895298,35.30571458432533
0.13,58.44698084999707,40.140883092450835
0.14,53.50363285654216,45.15452797628038
0.15,48.487194566862605,50.14660124982403
0.16,43.536941951587416,55.125471886539714
0.17,38.624226969559096,60.03418338167522
0.18,33.83346740968157,64.79545961913439
0.19,29.219595581694918,69.39562011881372
0.2,24.835532225667695,73.76394203901884
0.21,20.731464342431565,77.87175596509387
0.22,16.954162285981084,81.63779880328502
0.23,13.546369308697463,85.03499588038434
0.24,10.579102565463923,88.02484280477772
0.25,8.018836271877317,90.5619225145007
0.26,5.9314316200654496,92.64032788086838
0.27,4.131897493362037,94.22524314875672
0.28,3.059233729973219,95.22866828974547
0.29,2.16032106361081,95.84161034228033
0.3,0.7449395307314917,95.89211705648889
0.31,2.8436234286478372,95.41805682614977
0.32,4.062943861150938,94.42585269177431
0.33,5.565517133110202,92.8548826557106
0.34,7.5573217260654895,90.87457409205835
0.35000000000000003,10.024748310966332,88.42917115268779
0.36,12.916725904701586,85.61390481882523
0.37,16.20998344038544,82.33882343057353
0.38,19.866314739353943,78.69849257942657
0.39,23.818017096339766,74.73460801409114
0.4,28.071185266083194,70.5244306553283
0.41000000000000003,32.55355015858866,66.06255123927147
0.42,37.21336136890533,61.40423273495673
0.43,41.99668461310432,56.640708511085805
0.44,46.848179409560586,51.813262685020725
0.45,51.69899684893438,46.96317765344526
0.46,56.513203849898176,42.15272379928972
0.47000000000000003,61.265560659061855,37.43655651991965
0.48,65.70206721228413,32.86814992652731
0.49,70.0818632655239,28.499141625269704
0.5,74.21098988014863,24.331012553595546
0.51,78.04371496105537,20.512451322765433
0.52,81.53789854265189,17.030460140029977
0.53,84.65531030485597,13.923096407379107
0.54,87.3619763143494,11.223837960855533
0.55,89.71487921880853,8.8768969885326
0.56,91.43672094565167,7.080933460578709
0.5700000000000001,92.76623604339972,5.76473205660647
0.58,93.60030103956974,4.953689804857199
0.59,93.93139587722725,4.568431322563164
0.6,93.75796586512665,4.7551010148481625
0.61,93.08437548319979,5.534575874030089
0.62,91.92078032657331,6.67978204567095
0.63,90.39706063932064,8.302099840714849
0.64,88.32922541771042,10.387657438696852
0.65,85.83486541149469,12.898612918576546
0.66,82.94419510325176,15.804124229950597
0.67,79.6917005618985,19.109274436181213
0.68,76.11576458002011,22.645111648480498
0.6900000000000001,72.29505749229882,26.522037569735087
0.7000000000000001,68.17224220859131,30.635363007504935
0.71,63.88936222268779,34.91679755467752
0.72,59.465303377140586,39.345857187083894
0.73,54.950787142207105,43.8588909125253
0.74,50.39717733754517,48.46212510081963
0.75,45.856043331038016,53.012166384999446
0.76,41.43323590740304,57.44215132527221
0.77,37.06473335187686,61.794817886569184
0.78,32.87136829277244,65.98243543123333
0.79,28.886659357772277,69.95867277088492
0.8,25.154263483551286,73.67967281863224
0.81,21.673617784626583,77.10460545644524
0.8200000000000001,18.28070481348835,80.19616141422381
0.8300000000000001,15.504693508257692,82.88226459235317
0.84,13.121697586480085,85.23150557984236
0.85,11.442047133548366,87.13700116882247
0.86,9.919505124382507,88.60559123476239
0.87,8.922097974083432,89.6238805200046
0.88,8.311578135483103,90.1834643241607
0.89,8.181107821966037,90.2810525839897
0.9,8.482660533654633,89.89452690504649
0.91,9.226471853940026,89.07574846095119
0.92,10.402625533198808,87.86845533876676
0.93,11.911627495117585,86.1821433500558
0.9400000000000001,13.891717687684324,84.09303245776898
0.9500000000000001,16.27940681761465,81.6279526413513
0.96,18.99652493945431,78.80656586833264
0.97,22.227940518613984,75.68733010062898
0.98,25.576977588494415,72.29225133962969
0.99,29.13771174665124,68.66317529585571
1.0,32.89203191218843,64.91125464550386
1.01,36.78874824806174,60.96538807849385
1.02,40.79387192371253,56.916098955822136
1.03,44.85728747284593,52.769787698847935
1.04,48.614161038092654,48.594101969911364
1.05,52.976127767726474,44.507631934015315
1.06,56.94112575991811,40.50226165542489
1.07,60.84450176088738,36.62354625927726
1.08,64.5294106234591,32.915298623571765
1.09,68.0129942168122,29.547239648611466
1.1,71.25315269857448,26.294139438194314
1.11,74.21584426605709,23.335412084137996
1.12,76.87044796569754,20.688422054750507
1.1300000000000001,79.17225397285166,18.426275393872526
1.1400000000000001,81.2115522849117,16.481278574977193
1.1500000000000001,82.8219180312595,14.767566807597774
1.16,84.04035084698664,11.130268668374054
1.17,84.86042647519646,10.208611169410336
1.18,85.22640719241147,12.396069575694185
1.19,85.24845301349457,11.151117508173321
1.2,84.86907869960915,13.02903730963105
1.21,84.09634747210123,13.852409592752835
1.22,82.9425622176016,15.055448243254006
1.23,81.36607261254468,16.73146549515156
1.24,79.52132777729943,18.647765361248705
1.25,77.34412285206335,20.879187882278007
1.26,74.87506897004876,23.338601499800497
1.27,72.14530215257533,26.094089330470354
1.28,69.18858206186884,29.07004537635345
1.29,66.00294970707516,32.231493519695775
1.3,62.707355285955344,35.54184989618446
1.31,59.33244043948268,38.96323259574842
1.32,55.83901829280408,42.456742871482014
1.33,52.30660013633819,46.1695845267136
1.34,48.75388347147882,49.6981707042632
1.35,45.26794445003246,53.14971552258332
1.36,41.860727721466425,56.53883845265286
1.37,38.570727342093036,59.63296619666315
1.3800000000000001,35.415775901096794,62.70087152187703
1.3900000000000001,32.474943719307355,65.57516807747787
1.4000000000000001,29.83151652827423,68.22742986787891
1.41,27.352462562222602,70.6321327917346
1.42,25.124770673912657,73.10509876791966
1.43,23.153756869079015,74.9716491359285
1.44,21.510458830721106,76.53393397915312
1.45,18.29510356483472,77.76644560982743
1.46,17.19135402647353,78.66145280663767
1.47,18.594604363083082,79.2128961043769
1.48,18.33336855600255,79.04340623279701
1.49,18.531835473936123,78.81079624476912
1.5,18.934928147621875,78.28900186637647
1.51,19.677348284698667,77.97064224202705
1.52,20.71916334264825,76.9479919593382
1.53,22.060464753516,75.55336347774698
1.54,23.710340394732533,73.87921048826871
1.55,25.586644380901202,71.95003307063507
1.56,27.73071984623929,69.76350791797529
1.57,28.535839615544845,67.4060817626298
1.58,30.82727294172361,64.87361557050117
1.59,33.280917960036724,61.46762331552461
1.6,37.93335798591391,58.56597431182249
1.61,40.77071870369272,56.514939341363124
1.62,43.65874532169789,53.60452943074011
1.6300000000000001,46.5646459348794,50.679972356103
1.6400000000000001,49.48834287521353,47.73304105013159
1.6500000000000001,52.32120212394713,44.88946700562096
1.6600000000000001,55.07106622278185,42.14486865392668
1.67,57.708719179093315,39.491334115706664
1.68,60.20703354057579,36.950352352432354
1.69,62.541221089386255,33.62481503130983
1.7,64.68897983507063,31.34067295100339
1.71,66.63053276096397,29.32059649648856
1.72,68.34857204356165,28.76605942285884
1.73,69.97128565740809,27.29415399272128
1.74,71.20487081471558,26.07766324112998
1.75,72.08542992745546,25.158867183712996
1.76,72.7568628989963,24.30335195631507
1.77,73.15122774927352,23.926034832452345
1.78,73.23601329654468,20.818968881172417
1.79,73.09160783276131,23.73507946874291
1.8,72.68428631770215,24.14069318390388
1.81,72.02526564162125,19.860097595023912
1.82,71.41009922167414,13.245451117154195
1.83,70.29479319577176,26.46343523352562
1.84,68.98266660561947,28.572168966615557
1.85,67.46838182043854,30.117125583709836
1.86,65.53781176454282,31.83719018286371
1.87,63.64734942123209,33.71030320761112
1.8800000000000001,61.62547834277867,35.67448296016059
1.8900000000000001,59.46783619066389,37.763711091517834
1.9000000000000001,57.27451165828413,39.92841868464242
1.9100000000000001,55.034224405484586,41.212039248371134
1.92,53.21754877578878,43.32342022134963
1.93,51.04161271918913,45.44725440622614
1.94,48.8343786728815,49.019965842380316
1.95,46.67151468728164,51.17776300598612
1.96,44.57664600264649,53.298638069736626
1.97,42.541777144205426,55.32562677288584
1.98,33.19793640796244,57.237791251735636
1.99,38.2159524876706,59.01563307342846
2.0,36.53796954503969,60.66287166352311
2.0100000000000002,35.65741240829897,62.112223078177486
2.02,34.51437046213962,61.392627823208535
2.0300000000000002,33.43614894753325,62.23136681642366
2.04,32.54765490761794,65.2959600245336
2.05,31.168880097261788,65.96597790854048
2.06,30.787876319785106,66.42651016101564
2.07,23.688796300472497,66.6769907362783
2.08,30.574340350710745,66.78176576810638
2.09,31.114533915457642,66.60952530224279
2.1,30.442189807771413,66.20810348177724
2.11,30.681490328089247,65.6412775621849
2.12,32.58719168195158,61.92927190024168
2.13,33.42328860337976,60.76298406790315
2.14,34.46030095181128,62.84628739608694
2.15,35.56261313038072,61.63201749405227
2.16,36.80970360055735,60.293005993683366
2.17,38.161767680394796,58.99976242553847
2.18,39.600728159134455,57.47248788252096
2.19,41.107952049994175,55.87433989273691
2.2,42.66458415549283,54.11631128933896
2.21,35.76624904375749,52.418573098136264
2.22,36.77868826652444,46.80431137665534
2.23,47.53972789493451,44.83715769820685
2.24,49.12339998496483,47.310482372258825
2.25,50.666062050193084,45.65044577550205
2.2600000000000002,52.151283780664926,44.32736639663983
2.27,53.51001058092124,42.85095028472289
2.2800000000000002,54.78765937048101,41.4644961255441
2.29,55.998359065326895,40.127151926871555
2.3000000000000003,57.18851546744865,38.98118684808183
2.31,45.95348511951221,16.32816134167546
2.32,57.89646511098876,15.141628306274765
2.33,59.7970203879882,36.00040541613102
2.34,60.38833835702491,35.64323743452251
2.35,60.8365620079097,35.125012322354195
2.36,61.09662728962907,34.8111575118438
