T,still,split
0.0,88.60961889315637,0.5574843354360972
0.01,99.39976631156587,0.31229101834297424
0.02,95.6822944163112,0.20960019999719084
0.03,94.90082768812812,0.27247799469115613
0.04,98.98050563798563,0.09605489460398346
0.05,96.14324403346995,0.2151304046486054
0.06,97.47259787222231,0.24624581396855857
0.07,98.26297227774131,0.32616227067883063
0.08,95.43850821899886,0.9043563326341248
0.09,97.6499592517733,0.5815406902980276
0.1,96.37069412916622,1.4173778379210542
0.11,96.03105912616785,0.7421894395465264
0.12,96.83520809117421,1.7611429272023558
0.13,95.55640920486105,1.8679157055278555
0.14,96.16769675940353,2.031798693922029
0.15,95.92972756228635,2.039633853444999
0.16,95.90858906520171,2.035436180321557
0.17,96.21698750856321,2.1147711453187332
0.18,95.80467459742835,1.9748066747671484
0.19,96.05299553878801,2.0623704316812868
0.2,96.07766088591345,1.885807313066729
0.21,95.84107226370737,2.2606776026781445
0.22,96.15123656071707,2.1484828063027073
0.23,95.74446153726936,2.1871135451240145
0.24,96.0031214652254,2.2834806591392596
0.25,95.88644112659004,2.2843542938180597
0.26,95.89594769637759,2.270831883917253
0.27,95.9694503232233,2.4785584614185807
0.28,95.6809576339692,2.098094429503606
0.29,95.9561900671209,2.5594589495379716
0.3,95.5917616107385,2.139774486316855
0.31,95.68854952896356,2.6573951611449544
0.32,95.72484601456962,2.8229540646241618
0.33,95.38709792452927,2.8020861286273537
0.34,95.65376992911591,3.004286022144946
0.35000000000000003,95.1429315927844,3.062965213451405
0.36,95.32643479835595,3.1355520427068893
0.37,95.31096157773611,3.3075631619533996
0.38,94.93680088225938,3.316466045253752
0.39,95.11418698870257,3.605581986849153
0.4,94.5401345634469,3.7797677993106245
0.41000000000000003,94.64980586137781,3.948701682494914
0.42,94.45604544733168,4.157957749926864
0.43,94.16704130933414,4.31919464782068
0.44,94.23888800410248,4.553997998007781
0.45,93.59333743374398,4.8269443061304464
0.46,93.6714166439338,5.02533416206282
0.47000000000000003,93.32357712640938,5.261244049447453
0.48,93.11206594584408,5.545061713669055
0.49,93.03433825230204,5.859422629338062
0.5,92.21290704676261,6.194314900433568
0.51,92.25272290172767,6.431320923377252
0.52,91.8254617972371,6.852944462552575
0.53,91.61159988100567,7.221501373705679
0.54,91.21317665057025,7.506218366643984
0.55,90.4081053323983,8.018995947227495
0.56,90.34940720514992,8.524095362921713
0.5700000000000001,89.76569509859883,8.82835410662064
0.58,89.55546572117552,9.22904329577964
0.59,88.86431617203792,9.819148312323534
0.6,87.908183200895,10.503443155135768
0.61,87.7355991075848,11.015110061045695
0.62,87.33207551741599,11.329597581512798
0.63,86.90550233756139,12.035004585900563
0.64,85.76254267423856,12.849872248159585
0.65,84.95895825342814,13.407574864347366
0.66,84.93245407840716,14.007176410853495
0.67,84.04895612597167,14.751735008488968
0.68,83.18022684579678,15.612780021971172
